	labial:+;coronal:-;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;front:0;strident:+	labial:-;coronal:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;distributed:0;dorsal:+;front:-	count	markedness_count
fortis:+;category:plosive	p͈	t̪͈	t̺͈	ȶ͈	k͈	5/5	1.0
fortis:-; ͉:+;category:plosive | fortis:-; ͉:-;category:plosive	p͉	t̪͉	t̺͉	ȶ͉	k͉	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β	ð			ɣ	3/5	0.6991542873317432
	3/3	3/3	2/3	2/3	3/3
	1.0	1.0	0.9103939427512331	0.9635783206270239	1.0
