	labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:- | labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;front:0	count	markedness_count
periodicGlottalSource:+	ð	ɮ	z			ɣ	4/6	0.9304740954404093
periodicGlottalSource:-			s	ʂ	ħ	ʃ	4/6	0.8949310735416695
	1/2	1/2	2/2	1/2	1/2	2/2
	0.2770323148031478	0.09511150429007344	1.0	0.7856783145681033	0.7233606974850547	1.0
