	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:-;sonorant:-;nasal:-;category:plosive	p	-	t	k		3/4	0.9599871408761759
periodicGlottalSource:+;constrictedGlottis:-;sonorant:-;nasal:-;category:plosive	b	-	d	ɡ	ɟ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	mb	-	nd	ŋɡ	ɲɟ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:+;sonorant:-;nasal:-;category:plosive	b̰	-	d̰			2/4	0.5756635532449054
periodicGlottalSource:+;category:fricative		ɮ				1/5	0.013585677392237847
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative					ʃ	1/5	0.5740948123010167
	4/6	1/2	4/6	3/6	3/6
	0.7599062586233172	0.09511150429007344	0.9042186482551753	0.789950719744008	0.737441453300431
