	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:-;sonorant:-;nasal:-	p	t		k	3/4	0.9599871408761759
periodicGlottalSource:+;constrictedGlottis:-;sonorant:-;nasal:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;sonorant:+,-;nasal:+,-	mb	nd	ɲɟ	ŋɡ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:+;sonorant:-;nasal:-	b̰	d̰			2/4	0.5756635532449054
	4/4	4/4	2/4	3/4
	1.0	1.0	0.4799628656795441	0.9913523114003426
