	labiodental:0;lateral:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	ɮ		1/2	0.03985417837329203
periodicGlottalSource:-		ʃ	1/2	0.9055040924933642
	1/2	1/2
	0.09511150429007344	0.790979405536229
