	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:- | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:- | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;strident:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive		t	c	k	3/4	0.7484464598553333
periodicGlottalSource:+;category:fricative	β				1/4	0.2592842107435752
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ	θ			2/4	0.8138218167156949
	3/4	3/4	2/4	2/4
	0.4977846056947926	0.9171268748474248	0.8169284772664792	0.818888186995482
