	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β		1/2	0.3405523525702766
periodicGlottalSource:-	ɸ	θ	2/2	1.0
	2/2	1/2
	1.0	0.7867127549172216
