	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	p	t̪	t	k		4/5	0.9628801250571227
constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ	tʼ	kʼ	qʼ	5/5	1.0
	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	0.24674417633408943
