	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:+,-;dorsal:-;high:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;epilaryngealSource:+;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;epilaryngealSource:-;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;epilaryngealSource:-;retractedTongueRoot:-,+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	d̪	-				-	ɡ			3/8	0.8306131203808619
periodicGlottalSource:+;category:fricative			-		z	ʒ	-		ʁ	ʁˤ	4/8	0.48856985414206533
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t̪	t̪ɬ		ts	t̠ʃ	ʡ	k	q	qˤ	9/10	0.9920200743514576
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			-	ɬ	s	ʃ	-		χ		4/8	0.6282442198874986
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	t̪ʼ	t̪ɬʼ		tsʼ	t̠ʃʼ	-	kʼ	qʼ	qˤʼ	8/9	0.9683602985506456
	3/5	3/5	2/2	1/5	4/5	4/5	1/1	3/5	4/5	3/5
	0.7745460215883864	0.8372845121016164	1.0	0.5779552393045377	0.9337972855160346	0.8458164396223786	1.0	0.8581918314633805	0.9257969898557573	0.6777020483269575
