	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ		-		1/3	0.3922256204908806
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	kp		3/4	0.6227640555025832
	3/3	2/3	2/2	1/3
	1.0	0.973026739209039	1.0	0.2751110846363155
