	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+		z	ʒ	ʕ	3/4	0.6552925944252672
periodicGlottalSource:-	f	s	ʃ	ħ	4/4	1.0
	1/2	2/2	2/2	2/2
	0.663071436692831	1.0	1.0	1.0
