	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;round:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	β	ð	z	ʐ	ɣ	ɣʷ	6/6	1.0
periodicGlottalSource:-		θ		ʂ	x		3/6	0.3133004250512539
	1/2	2/2	1/2	2/2	2/2	1/2
	0.3398854072137312	1.0	0.21000704083538152	1.0	1.0	0.17416760598366177
