	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t	ʈ	c	k	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-	b	d	ɖ	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	nd	ɳɖ		ŋɡ	4/5	0.9414049846591782
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	tʰ	ʈʰ	cʰ	kʰ	5/5	1.0
	4/4	4/4	4/4	3/4	4/4
	1.0	1.0	1.0	0.9730516833512997	1.0
