	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	d̠ʒ	ɖ	ɡ	5/5	1.0
periodicGlottalSource:+;category:fricative		z				1/5	0.35071073230743566
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	ʈ	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ʃ		x	4/5	0.9949306993367857
	3/4	4/4	3/4	2/4	3/4
	0.9245876636004398	1.0	0.9236936179361749	0.9500227250121117	0.9477381366921813
