	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t̠ʃ		2/3	0.6884768867634818
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s	ç	2/3	0.8148371794670229
spreadGlottis:+;category:affricate|plosive		tʰ	kʰ	2/3	0.7910756203386198
	1/3	3/3	2/3
	0.7473185535655418	1.0	0.24286014425971592
