	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
spreadGlottis:-	p			1/3	0.27821394701213226
spreadGlottis:+		tʰ	kʰ	2/3	0.735557408444848
	1/2	1/2	1/2
	0.8874692746427421	0.10910556746000065	0.12995976327317393
