	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
spreadGlottis:-; ͉:+	p͉	t͉	k͉	3/3	1.0
spreadGlottis:+	pʰ	tʰ	kʰ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
