	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ		-	2/3	0.8107532824294101
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	k	kʷ	4/4	1.0
	2/2	2/2	1/2	1/1
	1.0	1.0	0.9836454289273285	1.0
