	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪		d̠ʒ	bʲ	dʲ		d̠ʒʲ	ɡʲ	ɡ	8/10	0.945154225166994
periodicGlottalSource:+;category:fricative	v		z̪	ʒ	vʲ		zʲ	ʒʲ			6/10	0.6918203601640939
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̪s̪	t̠ʃ	pʲ	tʲ	tsʲ	t̠ʃʲ	kʲ	k	10/10	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s̪	ʃ	fʲ		sʲ	ʃʲ	ç		7/10	0.7674156577209797
	4/4	2/4	3/4	4/4	4/4	2/4	3/4	4/4	3/4	2/4
	1.0	0.8337086869543983	0.9299640733563029	1.0	1.0	0.9072658771682904	0.9730875233971682	1.0	0.9574691982946859	0.8208175339725856
