	labiodental:0;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;anterior:+;distributed:-;dorsal:-,+;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+		d̠ʒ		d̠ʒʲ	2/4	0.6113253147050397
periodicGlottalSource:-	t̪s̪	t̠ʃ	tsʲ	t̠ʃʲ	4/4	1.0
	1/2	2/2	1/2	2/2
	0.8254409164197298	1.0	0.8933919270628361	1.0
