	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b		d	dz	d̠ʒ	ɡ	5/6	0.9980864342594284
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-	ɗ	-	-		2/3	0.8038629283657579
periodicGlottalSource:+;category:fricative	v	ɮ		z	ʒ	ɣ	5/6	0.9386843461641101
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p		t	ts	t̠ʃ	k	5/6	0.9904716090102875
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ		s	ʃ	x	5/6	0.9458697672222028
	5/5	2/4	3/5	4/4	4/4	4/5
	1.0	0.6387032679104904	0.9398547393820654	1.0	1.0	0.9905450724375339
