	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	d̠ʒ	ɡ	4/4	1.0
periodicGlottalSource:+;category:fricative	β			ɣ	2/4	0.5179806591948745
periodicGlottalSource:-;category:affricate|plosive		t		k	2/4	0.6103292076247064
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ		s		2/4	0.6996540208688139
	3/4	2/4	2/4	3/4
	0.4975969075594287	0.9036894656578184	0.4991975467553683	0.8754418110200178
