	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+,-;category:affricate|plosive	ˀb͉		-	-	-	1/2	0.7261270553161048
periodicGlottalSource:+;constrictedGlottis:-; ͉:-;category:affricate|plosive	b	d	d̠ʒ	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:+;constrictedGlottis:-; ͉:+;category:affricate|plosive	b͉	-	-	-	-	1/1	1.0
periodicGlottalSource:+;category:fricative	v		z	ɣ		3/5	0.9011830691687848
periodicGlottalSource:-;constrictedGlottis:-;category:affricate|plosive	p	t	t̠ʃ	k	kʷ	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s			2/5	0.6717956733322243
	6/6	2/5	4/4	3/4	2/4
	1.0	0.8947499174295755	1.0	0.8609948217246435	0.6823959799433924
