	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+,-	ˀb͉		-	-	1/2	0.7261270553161048
periodicGlottalSource:+;constrictedGlottis:-; ͉:-	b	d	ɡ	ɡʷ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-; ͉:+	b͉	-	-	-	1/1	1.0
periodicGlottalSource:-;constrictedGlottis:-	p	t	k	kʷ	4/4	1.0
	4/4	2/3	2/2	2/2
	1.0	0.9999153579380587	1.0	1.0
