	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;high:0;low:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	ts	ʈ	tɕ	k	kʲ	7/7	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s		ʂ			2/7	0.5395447838527441
spreadGlottis:+;category:plosive | spreadGlottis:+;category:affricate | spreadGlottis:-,+;category:plosive | spreadGlottis:-,+;category:affricate	pʰ	tʰ	tsʰ	ʈʰ	tɕʰ	kʰ	kʲʰ	7/7	1.0
	2/3	2/3	3/3	2/3	3/3	2/3	2/3
	0.8419869567962608	0.916238517848951	1.0	0.9801431128847967	1.0	0.8685183391589368	0.9276882489036314
