	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:-;front:0	labial:-;coronal:-;anterior:0;dorsal:+;front:-	labial:-;coronal:-;anterior:0;dorsal:+;front:-,+	count	markedness_count
spreadGlottis:-	p	t	ʈ	k	kʲ	5/5	1.0
spreadGlottis:+	pʰ	tʰ	ʈʰ	kʰ	kʲʰ	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
