	labiodental:0;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
spreadGlottis:-	ts	tɕ	2/2	1.0
spreadGlottis:+ | spreadGlottis:-,+	tsʰ	tɕʰ	2/2	1.0
	2/2	2/2
	1.0	1.0
