	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	dz	d̠ʒ	2/2	1.0
periodicGlottalSource:-		t̠ʃ	1/2	0.49183983432885503
	1/2	2/2
	0.1699828060503026	1.0
