	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+,-;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɡb	ɟ	ɡ		5/6	0.9999081710578396
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ	-	ʄ	ɠ	ɠɓ	5/5	1.0
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	kp	c	k	-	5/5	1.0
	3/3	3/3	2/2	3/3	3/3	1/2
	1.0	1.0	1.0	1.0	1.0	0.7431952662721895
