	labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-	labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-,+	labial:-;coronal:+;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:+;distributed:-;dorsal:-,+;front:+;round:0	labial:+;coronal:-;distributed:0;dorsal:+;front:-;round:-	labial:-;coronal:-;distributed:0;dorsal:+;front:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;front:-,+;round:0	count	markedness_count
periodicGlottalSource:+	b	bʷ	d̪	dʲ	ɡb	ɡ	ɡʲ	7/7	1.0
periodicGlottalSource:-	p	pʷ	t̪		kp	k	kʲ	6/7	0.9939572506300531
	2/2	2/2	2/2	1/2	2/2	2/2	2/2
	1.0	1.0	1.0	0.35148499291846225	1.0	1.0	1.0
