	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:-,-,+ | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:-,-,+ | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:-,+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0;round:0;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0;round:0;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;front:0;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;front:0;round:0;anterior:-;lateral:-	labial:-,+;labiodental:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0;round:+;anterior:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;front:+;round:0;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;front:+;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:0,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:0,-,+;front:+;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,-,+;front:+;round:0;anterior:+	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-;round:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:-,+;round:0 | labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:0,-,+;round:0 | labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:-,-,+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;front:+;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;front:+;round:0;anterior:-	count	markedness_count
periodicGlottalSource:+;category:plosive	bʷ	b	d̪	-	dʲ	ɡb	ɡ	ɡʲ	7/7	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	pʷ	p	t̪	-		kp	k	kʲ	6/7	0.9939572506300531
periodicGlottalSource:+;category:fricative		v	z̪			-			2/7	0.7971007871171883
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f	s̪	sʷ	sʲ	-			4/7	0.849429526327395
	2/4	4/4	4/4	1/2	2/4	2/2	2/4	2/4
	0.7192433815142331	1.0	1.0	0.4978999382564249	0.5050066661951903	1.0	0.818888186995482	0.818168471778134
