	labial:+;labiodental:+;coronal:-;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;distributed:-;dorsal:-;round:+	labial:-;labiodental:0;coronal:+;distributed:-;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	v	z̪			2/4	0.9504605671785578
periodicGlottalSource:-	f	s̪	sʷ	sʲ	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.5550544619139691	0.7347060082533312
