	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b					1/5	0.28096588159797337
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ʃ		2/5	0.5160654849487412
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	k	5/5	1.0
	2/3	1/3	2/3	2/3	1/3
	0.8421922259973105	0.6560010527343105	0.9185856923172359	0.8300249876283463	0.6227784394032676
