	labial:+;coronal:-;anterior:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	ʈ	k	q	5/5	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	tʰ	ʈʰ	kʰ	qʰ	5/5	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	ʈʼ	kʼ	qʼ	5/5	1.0
	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
