	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+;category:affricate|plosive	b̰	t̰	ts̰	t̠ʃ̰	k̰	q̰	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ʃ		χ	3/6	0.5821272085682672
periodicGlottalSource:-;constrictedGlottis:-;category:affricate|plosive	p	t	ts	t̠ʃ	k	q	6/6	1.0
	2/3	2/3	3/3	3/3	2/3	3/3
	0.7657544267086888	0.8908764135865722	1.0	1.0	0.8446311476978933	1.0
