	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:0;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:0;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:- | labial:-,-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p		t̪	t	ts	t̪ɬ̪|tɬ	t̠ʃ	kʷ	k	8/9	0.9996581857206472
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b		d̪	d	dz	d̪ɮ̪|dɮ	d̠ʒ	ɡʷ	ɡ	8/9	0.9996613111098231
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	-		ɗ	-	-	ɗ̠	-		3/5	0.7662230368250219
periodicGlottalSource:+;category:fricative	β	v	ð						ʕ	4/9	0.5667375591858965
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate	pʼ		t̪ʼ	tʼ	tsʼ	t̪ɬ̪ʼ|tɬʼ	t̠ʃʼ	kʷʼ	kʼ	8/9	0.9999604281240256
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb		n̪d̪	nd	ndz	-	n̠d̠ʒ	ŋɡʷ	ŋɡ	7/8	0.9998927229427388
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f			s	ɬ̪|ɬ	ʃ		ħ	5/9	0.8690027251137218
	6/7	2/6	5/7	5/7	5/6	4/5	6/7	4/6	6/7
	0.9628497109905387	0.993506118150209	0.8736328910430309	0.9998011021950142	0.8725048535533229	0.9440167324697748	0.9196468696290897	0.739957146921152	0.9902906574212986
