	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;retractedTongueRoot:-	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:0;dorsal:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	β	v	ð			ʕ	4/6	0.8310402731722593
periodicGlottalSource:-		f	s	ɬ̪|ɬ	ʃ	ħ	5/6	0.9495963511609459
	1/2	2/2	2/2	1/2	1/2	2/2
	0.5479002076962644	1.0	1.0	0.8871364074881068	0.7852728912936696	1.0
