	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-,+;strident:-;anterior:+;distributed:0;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;lateral:-;strident:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-	ts	t̪ɬ̪|tɬ	t̠ʃ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-	dz	d̪ɮ̪|dɮ	d̠ʒ	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;sonorant:-;nasal:- | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;sonorant:-;nasal:-	tsʼ	t̪ɬ̪ʼ|tɬʼ	t̠ʃʼ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-	ndz	-	n̠d̠ʒ	2/2	1.0
	4/4	3/3	4/4
	1.0	1.0	1.0
