v		ɣ			2/5	0.40590774445426225
b̥	d̥	ɡ̊	ɢ̥	ɟ̥ʝ̥	5/5	1.0
	z̥		ħ	ʒ̊	3/5	0.7137000080997602
2/3	2/3	2/3	2/3	2/3
0.7366794829300964	0.9066797029458198	0.8264434419786124	0.825742681325068	0.8888747222364796
