	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:-;strident:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		d		1/3	0.3730274467577811
periodicGlottalSource:-	p	t̻	k	3/3	1.0
	1/2	2/2	1/2
	0.6469266840209866	1.0	0.7131090135848781
