	labial:+;coronal:-;distributed:0;dorsal:- | labial:+;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;distributed:-;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:- | labial:-;coronal:+;distributed:-,+;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:-;strident:- | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:+;dorsal:-;strident:+	labial:-;coronal:-;distributed:0;dorsal:+ | labial:-;coronal:+;distributed:+;dorsal:+;anterior:+;strident:+;front:+ | labial:-;coronal:+;distributed:+;dorsal:+;anterior:-;strident:-;front:+ | labial:-;coronal:+;distributed:+;dorsal:-,+;anterior:-;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive		d		1/3	0.3730274467577811
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̻	k	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β			1/3	0.22653438333801104
	2/3	2/3	1/3
	0.6778798216684456	0.855619512572542	0.6694102788705942
