	labial:+;labiodental:-;coronal:-;dorsal:-	labial:+;labiodental:+;coronal:-;dorsal:-	labial:-;labiodental:0;coronal:-;dorsal:+ | labial:-;labiodental:0;coronal:+;dorsal:- | labial:-;labiodental:0;coronal:+;dorsal:-;anterior:-;distributed:+;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	v	ɣ	3/3	1.0
periodicGlottalSource:-		f	ʃ	2/3	0.9661576139395235
	1/2	2/2	2/2
	0.5479002076962644	1.0	1.0
