	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b		d	ɡ	3/4	0.9309481500346364
periodicGlottalSource:-	p	t̪	t	k	4/4	1.0
	2/2	1/2	2/2	2/2
	1.0	0.6685432490644522	1.0	1.0
