	labial:+;coronal:-;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;distributed:0;dorsal:-;high:0;front:0;back:0;round:0	labial:+;coronal:-;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:- | labial:+;coronal:-;distributed:0;dorsal:-,-,+;high:+;front:+;back:-;round:-	labial:-;coronal:+;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:0 | labial:-;coronal:+;distributed:0;dorsal:-,-,+;high:+;front:+;back:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;high:+;front:-,+;back:-;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t̪|t	pʲ	t̪ʲ|tʲ	k	kʲ	kʷ	q	8/8	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	t̪ʰ|tʰ	pʲʰ	t̪ʲʰ|tʲʰ	kʰ		kʷʰ	qʰ	7/8	0.9269828382854572
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	n̪d̪|nd	mbʲ	n̪d̪ʲ|ndʲ					4/8	0.48831835112348587
	3/3	3/3	3/3	3/3	2/3	1/3	2/3	2/3
	1.0	1.0	1.0	1.0	0.7229534852135876	0.4454133857305949	0.8240101169070402	0.8794496846275395
