	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;distributed:0;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:0;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:0;dorsal:-;high:0;front:0;back:0;round:0	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:- | labial:+;labiodental:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-,-,+;high:+;front:+;back:-;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-,-,+;high:+;front:+;back:-;round:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:0;dorsal:-,-,+;high:+;front:+;back:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:0;dorsal:-,-,+;high:+;front:+;back:-;round:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;distributed:0;dorsal:-,+;high:+;front:+;back:-;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:+;front:-,+;back:-;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;distributed:-,+;dorsal:-,+;high:+;front:+;back:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p		t̪|t	pʲ	t̪ʲ|tʲ	-	k	kʲ	kʷ	q	tɕ	9/10	0.9975397788562265
periodicGlottalSource:+;category:fricative	v			vʲ		-	ɣ				ʑ	4/10	0.30697637160533847
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:affricate	pʰ		t̪ʰ|tʰ	pʲʰ	t̪ʲʰ|tʲʰ	-	kʰ		kʷʰ	qʰ	tɕʰ	8/10	0.9505733968415065
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb		n̪d̪|nd	mbʲ	n̪d̪ʲ|ndʲ	-						4/10	0.6109485020183724
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ̪|ɬ	s̪|s		s̪ʲ|sʲ	ɬ̪ʲ|ɬʲ	x				ɕ	7/11	0.9188930622827852
	5/5	1/5	4/5	4/5	4/5	1/1	4/5	1/5	2/5	2/5	4/5
	1.0	0.43510196154850467	0.8971854850364066	0.838337580146057	0.8602020181936655	1.0	0.7632171320688604	0.41928838370187976	0.6026854912499906	0.5528587538740947	0.827580966340588
