	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+		ð	ɣ	2/3	0.7299654651014428
periodicGlottalSource:-	f	θ	x	3/3	1.0
	1/2	2/2	2/2
	0.6625210710769323	1.0	1.0
