	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:+	p̰	t̰	k̰	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:-	p	t	k	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
