	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;category:affricate|plosive	b	d	dz	ɡ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:+;category:affricate|plosive	p̰	t̰	t̰s̰	k̰	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ʃ	2/4	0.7557299242564584
periodicGlottalSource:-;constrictedGlottis:-;category:affricate|plosive	p	t		k	3/4	0.931640277412654
	3/4	3/4	3/4	4/4
	0.8314443535938191	0.9194381029242789	0.6836181365777847	1.0
