	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪|t	k	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d̪|d	ɡ	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb			1/3	0.44320624197211894
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	mp	n̪t̪|nt	ŋk	3/3	1.0
	4/4	3/4	3/4
	1.0	0.9365451826604135	0.9779256024303598
