	labiodental:0;strident:+;distributed:0;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:-,+;distributed:0;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	s̪|s	1/1	1.0
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	n̪s̪|ns	1/1	1.0
	2/2
	1.0
