	labial:+;coronal:-;strident:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;dorsal:-;front:0	labial:+;coronal:-;strident:0;dorsal:-,+;front:+	labial:-;coronal:+;strident:-;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;front:+;distributed:-	labial:-;coronal:-;strident:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	dz	bʲ	dʲ	ɡ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+;category:fricative		-	sʰ	-	sʲʰ	xʰ	3/4	0.9595721139148004
periodicGlottalSource:+;spreadGlottis:-;category:fricative			z			ɣ	2/6	0.6344866126564936
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	ts	pʲ	tʲ	k	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative			s		sʲ	x	3/6	0.745401656974524
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ	tsʰ	pʲʰ	tʲʰ	kʰ	6/6	1.0
	3/6	3/5	6/6	3/5	5/6	6/6
	0.7752650415826785	0.9280088745403915	1.0	0.6508688205846297	0.9101207883037419	1.0
