	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	bʲ	dʲ	ɡ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t	pʲ	tʲ	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	pʲʰ	tʲʰ	kʰ	5/5	1.0
	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
