	labiodental:0;coronal:+;dorsal:-;front:0;round:0	labiodental:0;coronal:+;dorsal:-,+;front:+;round:0	labiodental:0;coronal:-;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	sʰ	sʲʰ	xʰ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-	z		ɣ	2/3	0.9684189741171768
periodicGlottalSource:-;spreadGlottis:-	s	sʲ	x	3/3	1.0
	3/3	2/3	3/3
	1.0	0.7372011299119555	1.0
