b	d	d̠ʒ	ɡb	ɡ	5/5	1.0
v		z	-	ʝ	3/4	0.9235454121940448
p	t		kp	k	4/5	0.821557798429862
f		s	-		2/4	0.7020918852295057
4/4	2/4	3/4	2/2	3/4
1.0	0.9036894656578184	0.6037415953912731	1.0	0.8756337485351481
