	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪	dz	d̠ʒ	ɡ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ʃ		2/5	0.5393042172918294
periodicGlottalSource:-;category:affricate|plosive	p	t̪			k	3/5	0.7791375387799221
	2/3	2/3	2/3	2/3	2/3
	0.8421922259973105	0.8771182303113406	0.6206738712162057	0.4670100673830688	0.8704935942677532
