	t	c	k	3/4	0.7328913172577098
b	d	ɟ	ɡ	4/4	1.0
mb	nd	ɲɟ	ŋɡ	4/4	1.0
ɓ	ɗ			2/4	0.8038629283657579
3/4	4/4	3/4	3/4
0.3578121741741643	1.0	0.9473754715370958	0.9942271009636375
