	labiodental:0;coronal:+;lateral:+;dorsal:-;round:0	labiodental:0;coronal:-;lateral:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+		ɣ	1/2	0.9551227706989709
periodicGlottalSource:-	ɬ̪̺		1/2	0.13384910973305408
	1/2	1/2
	0.9025748456519439	0.2619991278840174
