	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t	c	2/3	0.7428153325701342
periodicGlottalSource:+;sonorant:+,-;nasal:+,- | periodicGlottalSource:+;sonorant:-;nasal:-	mb	nd	ɡ	3/3	1.0
	1/2	2/2	2/2
	0.35742956402202924	1.0	1.0
