	t		kp	k	3/5	0.6132792999885228
b	d	d̠ʒ	ɡb	ɡ	5/5	1.0
ɓ	ɗ	-	-		2/3	0.8038629283657579
ɸ		s	-		2/4	0.7005662678007605
mb	nd	n̠d̠ʒ	ŋmɡb	ŋɡ	5/5	1.0
4/5	4/5	3/4	3/3	3/5
0.46026402788654247	0.9249593119009846	0.5576126104717808	1.0	0.8589781346437548
