	t	kp	k	3/4	0.7427284937391415
b	d	ɡb	ɡ	4/4	1.0
mb	nd	ŋmɡb	ŋɡ	4/4	1.0
ɓ	ɗ	-		2/3	0.8108077539606614
3/4	4/4	3/3	3/4
0.3578121741741643	1.0	1.0	0.9879946527695005
