elpd_loo,mcse_elpd_loo,p_loo,looic,influence_pareto_k,pareto_k
-1.8681398023721254,0.009703032986645882,0.1578988670843282,3.736279604744251,0.4476543829172143,0.4476543829172143
-1.9182432038677533,0.010506322724094002,0.16102439745562958,3.8364864077355065,0.577905655980839,0.577905655980839
-1.9714097201402332,0.01161101136812796,0.19555557631311515,3.9428194402804664,0.39793665083250496,0.39793665083250496
-1.8806158061810407,0.01347526300647037,0.17501739606210798,3.7612316123620815,0.6718246114974252,0.6718246114974252
-1.2778500628880227,0.007049882476080137,0.10060826891396601,2.5557001257760454,0.46983444921506556,0.46983444921506556
-1.27951632139224,0.006767248874127197,0.10381563469596866,2.55903264278448,0.41084492525812116,0.41084492525812116
-1.8986754521555245,0.010140623991000245,0.16956459619561937,3.797350904311049,0.39439117122711387,0.39439117122711387
-1.372801457855525,0.009594969140461861,0.15951715122405385,2.74560291571105,0.43031445900501225,0.43031445900501225
-1.4124505226915236,0.01168503665053121,0.18745470024520916,2.824901045383047,0.4553927218492185,0.4553927218492185
-1.4243217236714507,0.013959486512835238,0.19833898820760432,2.8486434473429014,0.5451065879386229,0.5451065879386229
-1.983622342054968,0.012161323407454168,0.1638926494206583,3.967244684109936,0.6301087145239791,0.6301087145239791
-1.9608967539704896,0.007431276643146548,0.14422333519902342,3.921793507940979,0.23374737456009925,0.23374737456009925
-2.0111703318484597,0.012666058214183127,0.19503047701237985,4.0223406636969194,0.6941450240876977,0.6941450240876977
-1.1911723612178342,0.004120391953325923,0.05571946664491989,2.3823447224356684,0.4286338191604018,0.4286338191604018
-1.1915669402935176,0.004397231003640055,0.05760239881234064,2.3831338805870352,0.33924166428078517,0.33924166428078517
-1.1712431838050428,0.003614537614369058,0.045556446002047224,2.3424863676100856,0.41184478562287063,0.41184478562287063
-1.5445033655042426,0.0048555729898620975,0.0779017352462068,3.089006731008485,0.3488077019706824,0.3488077019706824
-1.1226684233142166,0.0022574947471254666,0.02517300866255745,2.245336846628433,0.28557384720139345,0.28557384720139345
-1.1227244770133904,0.0022519302177455482,0.025174169258993295,2.245448954026781,0.27261712536467286,0.27261712536467286
-1.4403416175036678,0.002862732617902415,0.03327298650328725,2.8806832350073357,0.3458811740205463,0.3458811740205463
-1.6647977372026528,0.002989346048423342,0.04288104213835542,3.3295954744053056,0.15345697078903411,0.15345697078903411
-1.6638662746895676,0.003050183357213559,0.04330026643204121,3.327732549379135,0.2945134654572951,0.2945134654572951
-1.109863021443383,0.0020189069720932054,0.021441563662109253,2.219726042886766,0.16107508631554013,0.16107508631554013
-1.1943358529776695,0.004060370425726174,0.05817833051904575,2.388671705955339,0.2855986958568216,0.2855986958568216
-1.4076263974971077,0.01064644733456911,0.1687034298974721,2.8152527949942154,0.5308278517893199,0.5308278517893199
-7.072180740021839,0.1533481401129391,6.303238939881997,14.144361480043678,0.8136922800660136,0.8136922800660136
-1.3544221752544665,0.005228665445414948,0.07881538075289818,2.708844350508933,0.40278298346870417,0.40278298346870417
-1.2080660429602101,0.004366898542463708,0.06097100250917542,2.4161320859204203,0.3816015329754654,0.3816015329754654
-1.2175888438309617,0.004426375892763107,0.06813003721878719,2.4351776876619233,0.2737332631057098,0.2737332631057098
-1.2121161286702247,0.0046043991098076425,0.06665445883570964,2.4242322573404493,0.3599514858339283,0.3599514858339283
-1.972804173365052,0.011413647998374504,0.2577999442277097,3.945608346730104,0.5155240142936685,0.5155240142936685
-9.747016183764245,0.15258207351552094,5.99659673119747,19.49403236752849,0.9853317368934681,0.9853317368934681
-2.1550359132674384,0.013924065459989999,0.4457113803057018,4.310071826534877,0.4127611094343627,0.4127611094343627
-1.7763488347320884,0.0099599404993485,0.19123930142316148,3.5526976694641768,0.47735619111963884,0.47735619111963884
-1.2025805130651932,0.004651954657482951,0.06281827919096727,2.4051610261303864,0.41686987961320093,0.41686987961320093
-1.205347620557987,0.004070646303451255,0.06123337613156554,2.410695241115974,0.18350156101066073,0.18350156101066073
-1.319502559127871,0.0048098264693434145,0.0738964542454772,2.639005118255742,0.22630223677752143,0.22630223677752143
