	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	v			2/4	0.3497405140414892
periodicGlottalSource:-		f	s	ʃ	3/4	0.9517160324608245
	1/2	2/2	1/2	1/2
	0.5479002076962644	1.0	0.7904973690479861	0.7783204924998441
