	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+	z	ʒ	ʐ	ɣ	ʁ	5/5	1.0
periodicGlottalSource:-	s	ʃ	ʂ		χ	4/5	0.8379786271336008
	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	0.2895997076440047	1.0
