	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
spreadGlottis:-	p	t	ʈ	k	4/4	1.0
spreadGlottis:+	pʰ	tʰ		kʰ	3/4	0.9699971997158938
	2/2	2/2	1/2	2/2
	1.0	1.0	0.9191895914223039	1.0
